Exponent	Iterative	Recursive
444	5.81741e-05	0.000150919
445	5.81741e-05	0.000151873
446	5.81741e-05	0.000154972
447	6.41346e-05	0.000149965
448	5.91278e-05	0.000150919
449	5.79357e-05	0.000154972
450	5.91278e-05	0.000151873
451	5.88894e-05	0.000159979
452	5.79357e-05	0.000151873
453	5.88894e-05	0.000153065
454	5.91278e-05	0.000154972
455	6.00815e-05	0.000154018
456	0.000254154	0.000158787
457	6.00815e-05	0.000154972
458	6.00815e-05	0.000158072
459	6.10352e-05	0.000160933
460	6.10352e-05	0.000154018
461	6.00815e-05	0.000158072
462	6.10352e-05	0.000161886
463	5.98431e-05	0.000158072
464	6.69956e-05	0.000158072
465	6.19888e-05	0.000159025
466	6.10352e-05	0.000168085
467	6.31809e-05	0.000161886
468	6.07967e-05	0.000171185
469	6.19888e-05	0.000158072
470	6.10352e-05	0.000162125
471	6.19888e-05	0.000159979
472	6.19888e-05	0.000165939
473	6.19888e-05	0.000159979
474	6.19888e-05	0.000159025
475	6.19888e-05	0.000164986
476	6.19888e-05	0.000163078
477	6.8903e-05	0.000162125
478	6.41346e-05	0.000165939
479	6.31809e-05	0.000161886
480	6.31809e-05	0.000164032
481	6.38962e-05	0.000172138
482	6.38962e-05	0.000163078
483	6.31809e-05	0.000167847
484	6.38962e-05	0.000165939
485	6.38962e-05	0.000173092
486	6.38962e-05	0.000169039
487	6.38962e-05	0.000165939
488	6.50883e-05	0.000165939
489	6.48499e-05	0.000174046
490	6.41346e-05	0.000169992
491	6.50883e-05	0.000178099
492	6.60419e-05	0.000168085
493	6.60419e-05	0.000176907
494	6.60419e-05	0.000170946
495	6.58035e-05	0.000170231
496	6.50883e-05	0.000169992
497	6.60419e-05	0.00017786
498	6.60419e-05	0.0001719
499	6.60419e-05	0.000171185
500	6.60419e-05	0.000170946
501	6.60419e-05	0.000178099
502	6.60419e-05	0.000174999
503	6.60419e-05	0.000173092
504	6.69956e-05	0.000172138
505	6.69956e-05	0.000180006
506	6.69956e-05	0.000174046
507	6.69956e-05	0.000178099
508	6.81877e-05	0.000174999
509	6.69956e-05	0.000184059
510	6.79493e-05	0.000179052
511	6.79493e-05	0.000176907
512	6.81877e-05	0.000175953
513	6.79493e-05	0.000184059
514	6.81877e-05	0.000178814
515	6.8903e-05	0.00018096
516	6.79493e-05	0.000175953
517	6.91414e-05	0.000184059
518	6.79493e-05	0.000182152
519	6.91414e-05	0.000178814
520	6.8903e-05	0.000179052
521	6.91414e-05	0.000380993
522	6.91414e-05	0.000180006
523	7.00951e-05	0.000179052
524	6.8903e-05	0.000189781
525	6.8903e-05	0.00018096
526	7.00951e-05	0.000185966
527	7.00951e-05	0.000181913
528	6.98566e-05	0.000190973
529	7.08103e-05	0.000182152
530	7.10487e-05	0.000184059
531	7.10487e-05	0.00018692
532	7.10487e-05	0.000190973
533	7.20024e-05	0.000182867
534	7.20024e-05	0.000190973
535	7.20024e-05	0.000185013
536	7.70092e-05	0.000185966
537	7.20024e-05	0.000187874
538	7.20024e-05	0.000185966
539	7.20024e-05	0.00019598
540	7.29561e-05	0.000185013
541	7.20024e-05	0.000188112
542	7.29561e-05	0.00019002
543	7.29561e-05	0.000196934
544	7.31945e-05	0.000187874
545	7.31945e-05	0.000188828
546	7.31945e-05	0.000190973
547	7.39098e-05	0.000200033
548	7.29561e-05	0.00019598
549	7.41482e-05	0.00019002
550	7.39098e-05	0.000203133
551	7.41482e-05	0.000192881
552	7.51019e-05	0.000190973
553	7.9155e-05	0.000198841
554	7.39098e-05	0.000201941
555	8.01086e-05	0.000193834
556	7.48634e-05	0.000197172
557	7.51019e-05	0.00019598
558	8.10623e-05	0.000197887
559	7.60555e-05	0.00019598
560	7.60555e-05	0.000194073
561	7.60555e-05	0.000202894
562	7.48634e-05	0.000195026
563	7.58171e-05	0.000195026
564	7.58171e-05	0.000197172
565	8.2016e-05	0.000201941
566	7.70092e-05	0.000203133
567	7.60555e-05	0.000195026
568	7.60555e-05	0.00020504
569	7.67708e-05	0.000198126
570	7.70092e-05	0.000198126
571	7.70092e-05	0.000202894
572	8.29697e-05	0.000200987
573	7.70092e-05	0.000200987
574	7.70092e-05	0.000204802
575	7.79629e-05	0.000206947
576	7.82013e-05	0.000201941
577	7.79629e-05	0.000204086
578	7.79629e-05	0.000200987
579	0.00027895	0.00020504
580	7.9155e-05	0.000206947
581	7.79629e-05	0.000216007
582	7.89165e-05	0.000206947
583	7.89165e-05	0.000204086
584	7.89165e-05	0.000203133
585	8.4877e-05	0.000204086
586	7.89165e-05	0.00020504
587	7.89165e-05	0.00020504
588	7.89165e-05	0.000216007
589	8.01086e-05	0.00020504
590	8.01086e-05	0.000210047
591	7.98702e-05	0.000207901
592	8.60691e-05	0.000206947
593	8.08239e-05	0.000207186
594	8.10623e-05	0.000208855
595	8.08239e-05	0.000216961
596	8.10623e-05	0.000211
597	8.2016e-05	0.000212908
598	8.10623e-05	0.00022006
599	8.10623e-05	0.000210047
600	8.2016e-05	0.000210047
601	8.10623e-05	0.000211
602	8.2016e-05	0.000212908
603	8.17776e-05	0.000212193
604	8.2016e-05	0.000210047
605	8.2016e-05	0.000221968
606	8.29697e-05	0.000216961
607	8.2016e-05	0.000211954
608	8.29697e-05	0.000221968
609	8.29697e-05	0.0002141
610	8.32081e-05	0.000215769
611	8.79765e-05	0.000226021
612	8.32081e-05	0.000228882
613	8.39233e-05	0.000216007
614	8.39233e-05	0.000231028
615	8.39233e-05	0.000216961
616	8.39233e-05	0.000215054
617	8.39233e-05	0.000216007
618	8.98838e-05	0.000216961
619	8.4877e-05	0.000216961
620	8.4877e-05	0.000221968
621	8.4877e-05	0.000225067
622	8.51154e-05	0.000224113
623	8.51154e-05	0.000219822
624	8.4877e-05	0.000226021
625	8.58307e-05	0.00022316
626	8.60691e-05	0.000222921
627	8.70228e-05	0.000227928
628	8.58307e-05	0.000221014
629	8.58307e-05	0.000224829
630	8.58307e-05	0.000421047
631	8.60691e-05	0.000224829
632	8.70228e-05	0.000222921
633	8.70228e-05	0.000230074
634	8.70228e-05	0.000222921
635	8.67844e-05	0.000221968
636	8.70228e-05	0.000232935
637	8.79765e-05	0.000232935
638	8.70228e-05	0.000229836
639	8.67844e-05	0.000231981
640	8.79765e-05	0.000225067
641	8.79765e-05	0.000225067
642	8.79765e-05	0.000231028
643	8.79765e-05	0.000226021
644	8.89301e-05	0.000228167
645	8.89301e-05	0.000240088
646	8.91685e-05	0.000239849
647	9.39369e-05	0.000230074
648	8.91685e-05	0.000235796
649	8.89301e-05	0.000231028
650	8.91685e-05	0.000231028
651	8.98838e-05	0.000237226
652	8.98838e-05	0.000233173
653	9.01222e-05	0.000233889
654	9.01222e-05	0.000241995
655	9.10759e-05	0.000232935
656	9.08375e-05	0.000233173
657	9.10759e-05	0.000240803
